date,Leaf_blight,Nocicept,price
2018-05-10,2,4,1819 
2018-05-11,0,0,1816 
2018-05-12,0,0,0 
2018-05-13,0,0,0 
2018-05-14,0,0,1793 
2018-05-15,0,0,1788 
2018-05-16,0,0,1779 
2018-05-17,0,0,1721 
2018-05-18,0,0,1709 
2018-05-19,0,0,0 
2018-05-20,0,0,0 
2018-05-21,0,0,1683 
2018-05-22,0,0,0 
2018-05-23,0,0,1672 
2018-05-24,0,0,1582 
2018-05-25,0,0,1580 
2018-05-26,0,0,0 
2018-05-27,0,0,0 
2018-05-28,1,4,1588 
2018-05-29,1,2,1588 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
